sampleID,Carbon,Concentration,Rep,Treatment,Day
ca400dP10,Casamino,400 uM-C,D,PRI,10
ca400eP10,Casamino,400 uM-C,E,PRI,10
ca40aP10,Casamino,40 uM-C,A,PRI,10
ca40bP10,Casamino,40 uM-C,B,PRI,10
ca40cP10,Casamino,40 uM-C,C,PRI,10
ca40dP10,Casamino,40 uM-C,D,PRI,10
ca40eP10,Casamino,40 uM-C,E,PRI,10
ca4aP10,Casamino,4 uM-C,A,PRI,10
ca4bP10,Casamino,4 uM-C,B,PRI,10
ca4cP10,Casamino,4 uM-C,C,PRI,10
ca4dP10,Casamino,4 uM-C,D,PRI,10
ca4eP10,Casamino,4 uM-C,E,PRI,10
ca1aP10,Casamino,1 uM-C,A,PRI,10
ca1bP10,Casamino,1 uM-C,B,PRI,10
ca1cP10,Casamino,1 uM-C,C,PRI,10
ca1dP10,Casamino,1 uM-C,D,PRI,10
ca1eP10,Casamino,1 uM-C,E,PRI,10
ca400aL14,Casamino,400 uM-C,A,LOM,14
ca400bL14,Casamino,400 uM-C,B,LOM,14
ca400cL14,Casamino,400 uM-C,C,LOM,14
ca400dL14,Casamino,400 uM-C,D,LOM,14
ca40bL14,Casamino,40 uM-C,B,LOM,14
ca40cL14,Casamino,40 uM-C,C,LOM,14
ca40dL14,Casamino,40 uM-C,D,LOM,14
ca40eL14,Casamino,40 uM-C,E,LOM,14
ca4aL14,Casamino,4 uM-C,A,LOM,14
ca4bL14,Casamino,4 uM-C,B,LOM,14
ca4cL14,Casamino,4 uM-C,C,LOM,14
ca4dL14,Casamino,4 uM-C,D,LOM,14
ca4eL14,Casamino,4 uM-C,E,LOM,14
ca1aL14,Casamino,1 uM-C,A,LOM,14
ca1bL14,Casamino,1 uM-C,B,LOM,14
ca1cL14,Casamino,1 uM-C,C,LOM,14
ca1dL14,Casamino,1 uM-C,D,LOM,14
ca1eL14,Casamino,1 uM-C,E,LOM,14
ca400aP14,Casamino,400 uM-C,A,PRI,14
