Int,Treatment,Carbon,Concentration,Rep,Strain,CO2Accum,Expt
9,LOM,Casamino Acids,4 uM-C,A,Community,43.961,1
9,LOM,Casamino Acids,4 uM-C,B,Community,48.852,1
9,LOM,Casamino Acids,4 uM-C,C,Community,44.834,1
9,composite,Casamino Acids,4 uM-C,A,Community,74.881,1
9,composite,Casamino Acids,4 uM-C,B,Community,79.081,1
9,composite,Casamino Acids,4 uM-C,C,Community,73.501,1
9,PRI,Casamino Acids,4 uM-C,A,Community,99.553,1
9,PRI,Casamino Acids,4 uM-C,B,Community,103.327,1
9,PRI,Casamino Acids,4 uM-C,C,Community,105.546,1
9,LOM,Casamino Acids,1 uM-C,A,Community,55.588,1
9,LOM,Casamino Acids,1 uM-C,B,Community,56.798,1
9,LOM,Casamino Acids,1 uM-C,C,Community,56.448,1
9,composite,Casamino Acids,1 uM-C,A,Community,86.508,1
9,composite,Casamino Acids,1 uM-C,B,Community,87.027,1
9,composite,Casamino Acids,1 uM-C,C,Community,85.115,1
9,PRI,Casamino Acids,1 uM-C,A,Community,84.096,1
9,PRI,Casamino Acids,1 uM-C,B,Community,86.648,1
9,PRI,Casamino Acids,1 uM-C,C,Community,95.072,1
10,ABM,Control_low,0 uM-C,A,Community,14.648,1
10,ABM,Control_low,0 uM-C,B,Community,7.354,1
10,ABM,Control_low,0 uM-C,C,Community,9.376,1
10,NOM,Control_low,0 uM-C,A,Community,34.557,1
10,NOM,Control_low,0 uM-C,B,Community,33.656,1
10,NOM,Control_low,0 uM-C,C,Community,33.788,1
10,LOM,Casamino Acids,40 uM-C,A,Community,78.496,1
10,LOM,Casamino Acids,40 uM-C,B,Community,87.924,1
10,LOM,Casamino Acids,40 uM-C,C,Community,90.295,1
10,composite,Casamino Acids,40 uM-C,A,Community,113.053,1
10,composite,Casamino Acids,40 uM-C,B,Community,121.58,1
10,composite,Casamino Acids,40 uM-C,C,Community,124.083,1
10,PRI,Casamino Acids,40 uM-C,A,Community,121.669,1
10,PRI,Casamino Acids,40 uM-C,B,Community,125.919,1
10,PRI,Casamino Acids,40 uM-C,C,Community,122.219,1
10,LOM,Casamino Acids,4 uM-C,A,Community,58.178,1
10,LOM,Casamino Acids,4 uM-C,B,Community,63.543,1
