Day,Concentration,Carbon,Treatment,Rep,Count
1,400 uM-C,Tryptone,composite,B,3360000
1,400 uM-C,Tryptone,composite,C,4170000
1,400 uM-C,Tryptone,composite,D,4760000
1,400 uM-C,Tryptone,composite,E,5860000
1,400 uM-C,Tryptone,PRI,A,1700000
1,400 uM-C,Tryptone,PRI,B,1600000
1,400 uM-C,Tryptone,PRI,C,1700000
1,400 uM-C,Tryptone,PRI,D,1500000
1,400 uM-C,Tryptone,PRI,E,1800000
2,4 uM-C,Tryptone,ABM,A,1400000
2,4 uM-C,Tryptone,ABM,B,800000
2,4 uM-C,Tryptone,ABM,C,900000
2,4 uM-C,Tryptone,ABM,D,800000
2,4 uM-C,Tryptone,ABM,E,1800000
2,4 uM-C,Tryptone,LOM,A,4700000
2,4 uM-C,Tryptone,LOM,B,1900000
2,4 uM-C,Tryptone,LOM,C,4600000
2,4 uM-C,Tryptone,LOM,D,3500000
2,4 uM-C,Tryptone,LOM,E,3400000
2,4 uM-C,Tryptone,NOM,A,5800000
2,4 uM-C,Tryptone,NOM,B,1100000
2,4 uM-C,Tryptone,NOM,C,3700000
2,4 uM-C,Tryptone,NOM,D,1100000
2,4 uM-C,Tryptone,NOM,E,8000000
2,4 uM-C,Tryptone,composite,A,10500000
2,4 uM-C,Tryptone,composite,B,3000000
2,4 uM-C,Tryptone,composite,C,8300000
2,4 uM-C,Tryptone,composite,D,4600000
2,4 uM-C,Tryptone,composite,E,11400000
2,4 uM-C,Tryptone,PRI,A,7300000
2,4 uM-C,Tryptone,PRI,B,7200000
2,4 uM-C,Tryptone,PRI,C,4800000
2,4 uM-C,Tryptone,PRI,D,1900000
2,4 uM-C,Tryptone,PRI,E,6100000
2,40 uM-C,Tryptone,ABM,A,1400000
2,40 uM-C,Tryptone,ABM,B,800000
2,40 uM-C,Tryptone,ABM,C,900000
2,40 uM-C,Tryptone,ABM,D,800000
2,40 uM-C,Tryptone,ABM,E,1800000
2,40 uM-C,Tryptone,LOM,A,1000000
2,40 uM-C,Tryptone,LOM,B,3500000
2,40 uM-C,Tryptone,LOM,C,1400000
2,40 uM-C,Tryptone,LOM,D,3900000
2,40 uM-C,Tryptone,LOM,E,2600000
2,40 uM-C,Tryptone,NOM,A,5800000
2,40 uM-C,Tryptone,NOM,B,1100000
2,40 uM-C,Tryptone,NOM,C,3700000
2,40 uM-C,Tryptone,NOM,D,1100000
2,40 uM-C,Tryptone,NOM,E,8000000
2,40 uM-C,Tryptone,composite,A,6800000
2,40 uM-C,Tryptone,composite,B,4600000
2,40 uM-C,Tryptone,composite,C,5100000
2,40 uM-C,Tryptone,composite,D,5000000
2,40 uM-C,Tryptone,composite,E,10600000
2,40 uM-C,Tryptone,PRI,A,3000000
2,40 uM-C,Tryptone,PRI,B,19000000
2,40 uM-C,Tryptone,PRI,C,2000000
2,40 uM-C,Tryptone,PRI,D,15000000
2,40 uM-C,Tryptone,PRI,E,5000000
2,400 uM-C,Tryptone,ABM,A,1400000
2,400 uM-C,Tryptone,ABM,B,800000
2,400 uM-C,Tryptone,ABM,C,900000
2,400 uM-C,Tryptone,ABM,D,800000
2,400 uM-C,Tryptone,ABM,E,1800000
2,400 uM-C,Tryptone,LOM,A,4500000
2,400 uM-C,Tryptone,LOM,B,8900000
2,400 uM-C,Tryptone,LOM,C,29600000
2,400 uM-C,Tryptone,LOM,D,27600000
2,400 uM-C,Tryptone,LOM,E,5700000
2,400 uM-C,Tryptone,NOM,A,5800000
2,400 uM-C,Tryptone,NOM,B,1100000
2,400 uM-C,Tryptone,NOM,C,3700000
2,400 uM-C,Tryptone,NOM,D,1100000
2,400 uM-C,Tryptone,NOM,E,8000000
2,400 uM-C,Tryptone,composite,A,10300000
2,400 uM-C,Tryptone,composite,B,10000000
2,400 uM-C,Tryptone,composite,C,33300000
2,400 uM-C,Tryptone,composite,D,28700000
2,400 uM-C,Tryptone,composite,E,13700000
2,400 uM-C,Tryptone,PRI,A,16000000
2,400 uM-C,Tryptone,PRI,B,4000000
2,400 uM-C,Tryptone,PRI,C,28000000
2,400 uM-C,Tryptone,PRI,D,36000000
2,400 uM-C,Tryptone,PRI,E,12000000
4,4 uM-C,Tryptone,ABM,A,2220000
4,4 uM-C,Tryptone,ABM,B,740000
4,4 uM-C,Tryptone,ABM,C,780000
4,4 uM-C,Tryptone,ABM,D,690000
4,4 uM-C,Tryptone,ABM,E,1500000
4,4 uM-C,Tryptone,LOM,A,650000
4,4 uM-C,Tryptone,LOM,B,290000
4,4 uM-C,Tryptone,LOM,C,520000
4,4 uM-C,Tryptone,LOM,D,1340000
4,4 uM-C,Tryptone,LOM,E,1620000
4,4 uM-C,Tryptone,NOM,A,5800000
4,4 uM-C,Tryptone,NOM,B,8100000
4,4 uM-C,Tryptone,NOM,C,1100000
4,4 uM-C,Tryptone,NOM,D,7000000
4,4 uM-C,Tryptone,NOM,E,2000000
4,4 uM-C,Tryptone,composite,A,6450000
4,4 uM-C,Tryptone,composite,B,8390000
4,4 uM-C,Tryptone,composite,C,1620000
4,4 uM-C,Tryptone,composite,D,8340000
4,4 uM-C,Tryptone,composite,E,3620000
4,4 uM-C,Tryptone,PRI,A,6300000
4,4 uM-C,Tryptone,PRI,B,8100000
4,4 uM-C,Tryptone,PRI,C,6500000
4,4 uM-C,Tryptone,PRI,D,5900000
4,4 uM-C,Tryptone,PRI,E,2500000
4,40 uM-C,Tryptone,ABM,A,2220000
4,40 uM-C,Tryptone,ABM,B,740000
4,40 uM-C,Tryptone,ABM,C,780000
4,40 uM-C,Tryptone,ABM,D,690000
4,40 uM-C,Tryptone,ABM,E,1500000
4,40 uM-C,Tryptone,LOM,B,4040000
4,40 uM-C,Tryptone,LOM,C,4870000
4,40 uM-C,Tryptone,LOM,D,4880000
4,40 uM-C,Tryptone,NOM,A,5800000
4,40 uM-C,Tryptone,NOM,B,8100000
4,40 uM-C,Tryptone,NOM,C,1100000
4,40 uM-C,Tryptone,NOM,D,7000000
4,40 uM-C,Tryptone,NOM,E,2000000
4,40 uM-C,Tryptone,composite,B,12140000
