Day,Concentration,Treatment,Rep,Count,Carbon
7,40 uM-C,LOM,D,610000,Casamino Acids
7,40 uM-C,LOM,E,1040000,Casamino Acids
7,40 uM-C,NOM,A,500000,Casamino Acids
7,40 uM-C,NOM,B,200000,Casamino Acids
7,40 uM-C,NOM,C,1400000,Casamino Acids
7,40 uM-C,NOM,D,2000000,Casamino Acids
7,40 uM-C,NOM,E,500000,Casamino Acids
7,40 uM-C,composite,A,1120000,Casamino Acids
7,40 uM-C,composite,B,860000,Casamino Acids
7,40 uM-C,composite,C,2120000,Casamino Acids
7,40 uM-C,composite,D,2610000,Casamino Acids
7,40 uM-C,composite,E,1540000,Casamino Acids
7,40 uM-C,PRI,A,1700000,Casamino Acids
7,40 uM-C,PRI,B,2700000,Casamino Acids
7,40 uM-C,PRI,C,2400000,Casamino Acids
7,40 uM-C,PRI,D,2000000,Casamino Acids
7,40 uM-C,PRI,E,3500000,Casamino Acids
7,400 uM-C,ABM,A,240000,Casamino Acids
7,400 uM-C,ABM,B,270000,Casamino Acids
7,400 uM-C,ABM,C,750000,Casamino Acids
7,400 uM-C,ABM,D,280000,Casamino Acids
7,400 uM-C,ABM,E,470000,Casamino Acids
7,400 uM-C,LOM,A,2010000,Casamino Acids
7,400 uM-C,LOM,B,1790000,Casamino Acids
7,400 uM-C,LOM,C,600000,Casamino Acids
7,400 uM-C,LOM,D,1100000,Casamino Acids
7,400 uM-C,LOM,E,1040000,Casamino Acids
7,400 uM-C,NOM,A,500000,Casamino Acids
7,400 uM-C,NOM,B,200000,Casamino Acids
7,400 uM-C,NOM,C,1400000,Casamino Acids
7,400 uM-C,NOM,D,2000000,Casamino Acids
7,400 uM-C,NOM,E,500000,Casamino Acids
7,400 uM-C,composite,A,2510000,Casamino Acids
7,400 uM-C,composite,B,1990000,Casamino Acids
7,400 uM-C,composite,C,2000000,Casamino Acids
7,400 uM-C,composite,D,3100000,Casamino Acids
7,400 uM-C,composite,E,1540000,Casamino Acids
7,400 uM-C,PRI,A,5400000,Casamino Acids
7,400 uM-C,PRI,B,5900000,Casamino Acids
7,400 uM-C,PRI,C,5100000,Casamino Acids
7,400 uM-C,PRI,D,2300000,Casamino Acids
7,400 uM-C,PRI,E,6600000,Casamino Acids
10,4 uM-C,ABM,A,440000,Casamino Acids
10,4 uM-C,ABM,B,800000,Casamino Acids
10,4 uM-C,ABM,C,1070000,Casamino Acids
10,4 uM-C,ABM,D,850000,Casamino Acids
10,4 uM-C,ABM,E,1110000,Casamino Acids
10,4 uM-C,LOM,A,1780000,Casamino Acids
10,4 uM-C,LOM,B,870000,Casamino Acids
10,4 uM-C,LOM,C,740000,Casamino Acids
10,4 uM-C,LOM,D,740000,Casamino Acids
10,4 uM-C,LOM,E,1200000,Casamino Acids
10,4 uM-C,NOM,A,660000,Casamino Acids
10,4 uM-C,NOM,B,430000,Casamino Acids
10,4 uM-C,NOM,C,740000,Casamino Acids
10,4 uM-C,NOM,D,470000,Casamino Acids
10,4 uM-C,NOM,E,680000,Casamino Acids
10,4 uM-C,composite,A,2440000,Casamino Acids
10,4 uM-C,composite,B,1300000,Casamino Acids
10,4 uM-C,composite,C,1480000,Casamino Acids
10,4 uM-C,composite,D,1210000,Casamino Acids
10,4 uM-C,composite,E,1880000,Casamino Acids
10,4 uM-C,PRI,A,300000,Casamino Acids
10,4 uM-C,PRI,B,600000,Casamino Acids
10,4 uM-C,PRI,C,1000000,Casamino Acids
10,4 uM-C,PRI,D,500000,Casamino Acids
10,4 uM-C,PRI,E,700000,Casamino Acids
10,40 uM-C,ABM,A,440000,Casamino Acids
10,40 uM-C,ABM,B,800000,Casamino Acids
10,40 uM-C,ABM,C,1070000,Casamino Acids
10,40 uM-C,ABM,D,850000,Casamino Acids
10,40 uM-C,ABM,E,1110000,Casamino Acids
10,40 uM-C,LOM,A,1200000,Casamino Acids
